movie,rt_critic,rt_audience,year,runtime,genre,imdb,meta,imdb_votes
Guardians of the Galaxy,92.0,92.0,2014,121 min,"Action, Adventure, Comedy",8.0,76,1050261
Léon,,,1994,110 min,"Action, Crime, Drama",8.5,64,1043118
American History X,83.0,96.0,1998,119 min,Drama,8.5,62,1040208
V for Vendetta,,,2005,132 min,"Action, Drama, Sci-Fi",8.2,62,1038362
Goodfellas,96.0,97.0,1990,146 min,"Biography, Crime, Drama",8.7,90,1029149
Pirates of the Caribbean: The Curse of the Black Pearl,79.0,86.0,2003,143 min,"Action, Adventure, Fantasy",8.0,63,1019123
Kill Bill: Vol. 1,85.0,81.0,2003,111 min,"Action, Crime, Drama",8.1,69,1007224
WALL·E,95.0,90.0,2008,98 min,"Animation, Adventure, Family",8.4,95,1006801
Terminator 2: Judgment Day,93.0,94.0,1991,137 min,"Action, Sci-Fi",8.5,75,1000908
The Usual Suspects,89.0,96.0,1995,106 min,"Crime, Mystery, Thriller",8.5,77,997339
Braveheart,78.0,85.0,1995,178 min,"Biography, Drama, History",8.3,68,964271
Joker,68.0,88.0,2019,122 min,"Crime, Drama, Thriller",8.4,59,959718
Finding Nemo,99.0,86.0,2003,100 min,"Animation, Adventure, Comedy",8.1,90,955118
The Lion King,52.0,88.0,1994,88 min,"Animation, Adventure, Drama",8.5,88,949295
The Lion King,52.0,88.0,2019,118 min,"Animation, Adventure, Drama",6.9,55,214766
The Truman Show,95.0,89.0,1998,103 min,"Comedy, Drama",8.1,90,948018
Iron Man,94.0,91.0,2008,126 min,"Action, Adventure, Sci-Fi",7.9,79,946220
Up,98.0,90.0,2009,96 min,"Animation, Adventure, Comedy",8.2,88,942130
Reservoir Dogs,92.0,94.0,1992,99 min,"Crime, Drama, Thriller",8.3,79,924833
Eternal Sunshine of the Spotless Mind,92.0,94.0,2004,108 min,"Drama, Romance, Sci-Fi",8.3,89,917331
The Sixth Sense,86.0,90.0,1999,107 min,"Drama, Mystery, Thriller",8.1,64,916025
Deadpool,85.0,90.0,2016,108 min,"Action, Adventure, Comedy",8.0,65,909597
Toy Story,100.0,92.0,1995,81 min,"Animation, Adventure, Comedy",8.3,95,893693
Mad Max: Fury Road,97.0,86.0,2015,120 min,"Action, Adventure, Sci-Fi",8.1,90,889041
Jurassic Park,91.0,91.0,1993,127 min,"Action, Adventure, Sci-Fi",8.1,68,873692
Gone Girl,87.0,87.0,2014,149 min,"Drama, Mystery, Thriller",8.1,79,868338
Good Will Hunting,98.0,94.0,1997,126 min,"Drama, Romance",8.3,70,868149
Star Wars: Episode VII - The Force Awakens,93.0,86.0,2015,138 min,"Action, Adventure, Sci-Fi",7.9,80,864755
No Country for Old Men,93.0,86.0,2007,122 min,"Crime, Drama, Thriller",8.1,91,863957
A Beautiful Mind,74.0,93.0,2001,135 min,"Biography, Drama",8.2,72,855027
The Hunger Games,84.0,81.0,2012,142 min,"Action, Adventure, Sci-Fi",7.2,68,848202
Avengers: Infinity War,85.0,91.0,2018,149 min,"Action, Adventure, Sci-Fi",8.4,68,847534
Catch Me If You Can,96.0,89.0,2002,141 min,"Biography, Crime, Drama",8.1,75,841704
Avengers: Endgame,94.0,90.0,2019,181 min,"Action, Adventure, Drama",8.4,78,829664
"Monsters, Inc.",96.0,90.0,2001,92 min,"Animation, Adventure, Comedy",8.1,79,820970
Slumdog Millionaire,91.0,90.0,2008,120 min,"Drama, Romance",8.0,84,802182
Snatch,73.0,93.0,2000,104 min,"Comedy, Crime",8.3,55,786467
Gravity,95.0,80.0,2013,91 min,"Drama, Sci-Fi, Thriller",7.7,96,772704
Requiem for a Dream,79.0,93.0,2000,102 min,Drama,8.3,68,771986
Harry Potter and the Deathly Hallows: Part 2,96.0,89.0,2011,130 min,"Adventure, Drama, Fantasy",8.1,85,770433
The Intouchables,75.0,93.0,2011,112 min,"Biography, Comedy, Drama",8.5,57,767439
The Martian,91.0,91.0,2015,144 min,"Adventure, Drama, Sci-Fi",8.0,80,765792
Toy Story 3,98.0,90.0,2010,103 min,"Animation, Adventure, Comedy",8.2,92,761742
Iron Man Three,79.0,78.0,2013,130 min,"Action, Adventure, Sci-Fi",7.1,62,760928
De Hobbit: Een onverwachte reis,,50.0,2012,169 min,"Adventure, Fantasy",7.8,58,760831
Thor,77.0,76.0,2011,115 min,"Action, Adventure, Fantasy",7.0,57,752803
Avengers: Age of Ultron,75.0,83.0,2015,141 min,"Action, Adventure, Sci-Fi",7.3,66,752018
Captain America: The First Avenger,80.0,74.0,2011,124 min,"Action, Adventure, Sci-Fi",6.9,66,746618
Donnie Darko,86.0,80.0,2001,113 min,"Drama, Mystery, Sci-Fi",8.0,88,743642
Captain America: The Winter Soldier,90.0,92.0,2014,136 min,"Action, Adventure, Sci-Fi",7.7,70,742162
Sin City,77.0,78.0,2005,124 min,"Crime, Thriller",8.0,74,739860
The Big Lebowski,83.0,93.0,1998,117 min,"Comedy, Crime, Sport",8.1,71,736902
The Pianist,95.0,96.0,2002,150 min,"Biography, Drama, Music",8.5,85,736442
Star Wars: Episode I - The Phantom Menace,52.0,59.0,1999,136 min,"Action, Adventure, Fantasy",6.5,51,735957
300,61.0,89.0,2006,117 min,"Action, Drama",7.6,52,735665
Iron Man 2,72.0,71.0,2010,124 min,"Action, Adventure, Sci-Fi",7.0,57,727981
Whiplash,94.0,94.0,2014,106 min,"Drama, Music",8.5,88,725079
Gran Torino,81.0,90.0,2008,116 min,Drama,8.1,72,724132
The Hangover,78.0,84.0,2009,100 min,Comedy,7.7,73,720479
Star Wars: Episode III - Revenge of the Sith,80.0,66.0,2005,140 min,"Action, Adventure, Fantasy",7.5,68,716924
The Grand Budapest Hotel,92.0,86.0,2014,99 min,"Adventure, Comedy, Crime",8.1,88,714824
The Revenant,78.0,84.0,2015,156 min,"Action, Adventure, Drama",8.0,76,711600
The Revenant,78.0,84.0,2009,117 min,"Comedy, Fantasy, Horror",6.3,57,10590
The Revenant,58.0,50.0,2015,156 min,"Action, Adventure, Drama",8.0,76,711600
The Revenant,58.0,50.0,2009,117 min,"Comedy, Fantasy, Horror",6.3,57,10590
Amélie,,,2001,122 min,"Comedy, Romance",8.3,69,707423
Black Swan,85.0,84.0,2010,108 min,"Drama, Thriller",8.0,79,703466
Man of Steel,56.0,75.0,2013,143 min,"Action, Adventure, Sci-Fi",7.0,55,695025
Spider-Man,90.0,67.0,2002,121 min,"Action, Adventure, Sci-Fi",7.3,73,691482
I Am Legend,68.0,68.0,2007,101 min,"Action, Adventure, Drama",7.2,65,690459
The Imitation Game,89.0,91.0,2014,114 min,"Biography, Drama, Thriller",8.0,73,690448
Kill Bill: Vol. 2,84.0,89.0,2004,137 min,"Action, Crime, Thriller",8.0,83,687975
How to Train Your Dragon,99.0,91.0,2010,98 min,"Animation, Action, Adventure",8.1,75,671024
Captain America: Civil War,90.0,89.0,2016,147 min,"Action, Adventure, Sci-Fi",7.8,75,670294
Silver Linings Playbook,92.0,86.0,2012,122 min,"Comedy, Drama, Romance",7.7,81,665104
Harry Potter en de steen der wijzen,81.0,82.0,2001,152 min,"Adventure, Family, Fantasy",7.6,64,664097
X-Men: Days of Future Past,90.0,91.0,2014,132 min,"Action, Adventure, Sci-Fi",7.9,75,663386
The Incredibles,97.0,75.0,2004,115 min,"Animation, Action, Adventure",8.0,90,660690
Pirates of the Caribbean: Dead Man's Chest,53.0,72.0,2006,151 min,"Action, Adventure, Fantasy",7.3,53,658316
Logan,93.0,90.0,2017,137 min,"Action, Drama, Sci-Fi",8.1,77,653906
X-Men: First Class,86.0,87.0,2011,131 min,"Action, Adventure, Sci-Fi",7.7,65,648385
Star Wars: Episode II - Attack of the Clones,65.0,56.0,2002,142 min,"Action, Adventure, Fantasy",6.5,54,646920
Ratatouille,96.0,87.0,2007,111 min,"Animation, Adventure, Comedy",8.0,96,646299
12 Years a Slave,95.0,90.0,2013,134 min,"Biography, Drama, History",8.1,96,645172
The King's Speech,94.0,92.0,2010,118 min,"Biography, Drama, History",8.0,88,642774
District 9,90.0,82.0,2009,112 min,"Action, Sci-Fi, Thriller",7.9,81,640538
Million Dollar Baby,90.0,90.0,2004,132 min,"Drama, Sport",8.1,86,639620
Trainspotting,91.0,93.0,1996,93 min,Drama,8.1,83,637906
Skyfall,92.0,86.0,2012,143 min,"Action, Adventure, Thriller",7.7,81,632831
Black Panther,96.0,79.0,2018,134 min,"Action, Adventure, Sci-Fi",7.3,88,632417
The Social Network,96.0,86.0,2010,120 min,"Biography, Drama",7.7,95,629963
Batman v Superman: Dawn of Justice,28.0,63.0,2016,152 min,"Action, Adventure, Sci-Fi",6.4,44,629610
Het leven is mooi,,,1997,116 min,"Comedy, Drama, Romance",8.6,59,628552
Binnenstebuiten,,,2015,95 min,"Animation, Adventure, Comedy",8.1,94,622577
Fargo,94.0,93.0,1996,98 min,"Crime, Drama, Thriller",8.1,85,621575
Shrek,88.0,90.0,2001,90 min,"Animation, Adventure, Comedy",7.8,84,616994
The Hunger Games: Catching Fire,90.0,89.0,2013,146 min,"Action, Adventure, Mystery",7.5,76,616356
Prisoners,81.0,87.0,2013,153 min,"Crime, Drama, Mystery",8.1,70,607025
The Bourne Ultimatum,92.0,91.0,2007,115 min,"Action, Mystery, Thriller",8.0,85,606432
Suicide Squad,26.0,59.0,2016,123 min,"Action, Adventure, Fantasy",6.0,40,605561
Doctor Strange,89.0,85.0,2016,115 min,"Action, Adventure, Fantasy",7.5,72,604803
World War Z,66.0,72.0,2013,116 min,"Action, Adventure, Horror",7.0,63,604760
De Hobbit: de Woestenij van Smaug,74.0,85.0,2013,161 min,"Adventure, Fantasy",7.8,66,604492
Edge of Tomorrow,91.0,90.0,2014,113 min,"Action, Adventure, Sci-Fi",7.9,71,603743
Thor: The Dark World,66.0,75.0,2013,112 min,"Action, Adventure, Fantasy",6.9,54,600742
Arrival,94.0,82.0,2016,116 min,"Drama, Sci-Fi",7.9,81,599692
Now You See Me,50.0,70.0,2013,115 min,"Crime, Mystery, Thriller",7.3,50,599369
Pirates of the Caribbean: At World's End,44.0,72.0,2007,169 min,"Action, Adventure, Fantasy",7.1,50,598359
Transformers,58.0,85.0,2007,144 min,"Action, Adventure, Sci-Fi",7.0,61,597953
Thor: Ragnarok,93.0,87.0,2017,130 min,"Action, Adventure, Comedy",7.9,74,596180
Kingsman: The Secret Service,74.0,84.0,2014,129 min,"Action, Adventure, Comedy",7.7,60,593727
The Curious Case of Benjamin Button,71.0,80.0,2008,166 min,"Drama, Fantasy, Romance",7.8,70,593162
Sherlock Holmes,69.0,77.0,2009,128 min,"Action, Adventure, Mystery",7.6,57,585591
Casino Royale,94.0,89.0,2006,144 min,"Action, Adventure, Thriller",8.0,80,584760
Life of Pi,86.0,84.0,2012,127 min,"Adventure, Drama, Fantasy",7.9,79,583834
Birdman or (The Unexpected Virtue of Ignorance),91.0,77.0,2014,119 min,"Comedy, Drama",7.7,87,583791
Groundhog Day,96.0,88.0,1993,101 min,"Comedy, Fantasy, Romance",8.0,72,582520
Jurassic World,70.0,78.0,2015,124 min,"Action, Adventure, Sci-Fi",7.0,59,582267
Heat,87.0,94.0,1995,170 min,"Crime, Drama, Thriller",8.2,76,581912
12 Monkeys,89.0,88.0,1995,129 min,"Mystery, Sci-Fi, Thriller",8.0,74,581196
Star Trek: The Future Begins,94.0,91.0,2009,127 min,"Action, Adventure, Sci-Fi",7.9,82,578815
Into the Wild,83.0,89.0,2007,148 min,"Adventure, Biography, Drama",8.1,73,576729
Argo,96.0,90.0,2012,120 min,"Biography, Drama, Thriller",7.7,86,575935
Ant-Man,82.0,86.0,2015,117 min,"Action, Adventure, Comedy",7.3,64,575762
Guardians of the Galaxy Vol. 2,85.0,87.0,2017,136 min,"Action, Adventure, Comedy",7.6,67,575741
Frozen,90.0,85.0,2013,102 min,"Animation, Adventure, Comedy",7.4,75,575581
Frozen,90.0,85.0,2010,93 min,"Adventure, Drama, Thriller",6.1,43,68485
Frozen,63.0,46.0,2013,102 min,"Animation, Adventure, Comedy",7.4,75,575581
Frozen,63.0,46.0,2010,93 min,"Adventure, Drama, Thriller",6.1,43,68485
Drive,92.0,79.0,2011,100 min,"Crime, Drama",7.8,78,575346
Wonder Woman,93.0,83.0,2017,141 min,"Action, Adventure, Fantasy",7.4,76,574001
X-Men,82.0,83.0,2000,104 min,"Action, Adventure, Sci-Fi",7.4,64,573479
Gisaengchung,,,2019,132 min,"Comedy, Drama, Thriller",8.6,96,573310
Ted,69.0,73.0,2012,106 min,Comedy,6.9,62,572185
Prometheus,73.0,68.0,2012,124 min,"Adventure, Mystery, Sci-Fi",7.0,64,570458
Star Wars: Episode VIII - The Last Jedi,90.0,42.0,2017,152 min,"Action, Adventure, Fantasy",7.0,84,569220
Taken,59.0,85.0,2008,90 min,"Action, Thriller",7.8,51,566761
Once Upon a Time... in Hollywood,85.0,70.0,2019,161 min,"Comedy, Drama",7.6,83,562986
Dunkirk,92.0,81.0,2017,106 min,"Action, Drama, History",7.8,94,561661
The Amazing Spider-Man 3D,72.0,77.0,2012,136 min,"Action, Adventure, Fantasy",6.9,66,561334
Star Wars: Rogue One,84.0,86.0,2016,133 min,"Action, Adventure, Sci-Fi",7.8,65,560412
Harry Potter en de geheime kamer,82.0,80.0,2002,161 min,"Adventure, Family, Fantasy",7.4,63,558962
Harry Potter en de gevangene van Azkaban,90.0,86.0,2004,142 min,"Adventure, Family, Fantasy",7.9,82,556721
Harry Potter en de vuurbeker,88.0,74.0,2005,157 min,"Adventure, Family, Fantasy",7.7,81,552747
Spider-Man 2,,,2004,127 min,"Action, Adventure, Sci-Fi",7.3,83,547145
Her,94.0,82.0,2013,126 min,"Drama, Romance, Sci-Fi",8.0,90,545349
John Wick,86.0,81.0,2014,101 min,"Action, Crime, Thriller",7.4,68,543600
"Lock, Stock and Two Smoking Barrels",75.0,93.0,1998,107 min,"Action, Comedy, Crime",8.2,66,538503
Looper,93.0,82.0,2012,113 min,"Action, Drama, Sci-Fi",7.4,84,536721
L.A. Confidential,99.0,94.0,1997,138 min,"Crime, Drama, Mystery",8.2,90,535122
Toy Story 2,100.0,86.0,1999,92 min,"Animation, Adventure, Comedy",7.9,88,530507
Independence Day,67.0,75.0,1996,145 min,"Action, Adventure, Sci-Fi",7.0,59,530001
Limitless,69.0,74.0,2011,105 min,"Sci-Fi, Thriller",7.4,59,529037
Cast Away,89.0,84.0,2000,143 min,"Adventure, Drama, Romance",7.8,73,528151
Kick-Ass,76.0,81.0,2010,117 min,"Action, Comedy, Crime",7.6,66,526778
The Notebook,53.0,85.0,2004,123 min,"Drama, Romance",7.8,53,524111
Superbad,88.0,87.0,2007,113 min,Comedy,7.6,76,523818
Zombieland,89.0,86.0,2009,88 min,"Adventure, Comedy, Fantasy",7.6,73,522302
The Hateful Eight,74.0,76.0,2015,168 min,"Crime, Drama, Mystery",7.8,68,522216
There Will Be Blood,91.0,86.0,2007,158 min,Drama,8.2,93,522029
Ocean's Eleven,83.0,80.0,2001,116 min,"Crime, Thriller",7.7,74,519869
Spider-Man: Homecoming,92.0,87.0,2017,133 min,"Action, Adventure, Sci-Fi",7.4,73,519282
The Matrix Reloaded,73.0,72.0,2003,138 min,"Action, Sci-Fi",7.2,62,518761
Men in Black,92.0,79.0,1997,98 min,"Action, Adventure, Comedy",7.3,71,518351
Harry Potter and the Order of the Phoenix,77.0,81.0,2007,138 min,"Action, Adventure, Family",7.5,71,515123
Shaun of the Dead,92.0,93.0,2004,99 min,"Comedy, Horror",7.9,76,514720
X-Men 2,85.0,85.0,2003,134 min,"Action, Sci-Fi, Thriller",7.4,68,514069
21 Jump Street,84.0,82.0,2012,109 min,"Action, Comedy, Crime",7.2,69,512962
La La Land,91.0,81.0,2016,128 min,"Comedy, Drama, Music",8.0,94,511168
The Bourne Identity,83.0,93.0,2002,119 min,"Action, Mystery, Thriller",7.9,68,511127
Minority Report,90.0,80.0,2002,145 min,"Action, Crime, Mystery",7.6,80,510839
Watchmen,65.0,71.0,2009,162 min,"Action, Drama, Mystery",7.6,56,503386
Despicable Me,81.0,82.0,2010,95 min,"Animation, Comedy, Crime",7.6,72,503251
Spider-Man 3,63.0,51.0,2007,139 min,"Action, Adventure, Sci-Fi",6.2,59,502338
Blood Diamond,63.0,90.0,2006,143 min,"Adventure, Drama, Thriller",8.0,64,502244
"I, Robot",56.0,70.0,2004,115 min,"Action, Drama, Sci-Fi",7.1,59,500934
Get Out,98.0,86.0,2017,104 min,"Horror, Mystery, Thriller",7.7,85,498302
Rise of the Planet of the Apes,81.0,77.0,2011,105 min,"Action, Drama, Sci-Fi",7.6,68,497485
American Psycho,70.0,85.0,2000,101 min,"Comedy, Crime, Drama",7.6,64,496529
Juno,94.0,88.0,2007,96 min,"Comedy, Drama",7.4,81,492750
Home Alone,67.0,80.0,1990,103 min,"Comedy, Family",7.6,63,491557
Troy,54.0,73.0,2004,163 min,"Drama, History",7.3,56,491067
Oblivion,53.0,61.0,2013,124 min,"Action, Adventure, Sci-Fi",7.0,54,488226
Source Code,92.0,82.0,2011,93 min,"Action, Drama, Mystery",7.5,74,486934
Deadpool 2,84.0,85.0,2018,119 min,"Action, Adventure, Comedy",7.7,66,485196
X-Men: The Last Stand,57.0,61.0,2006,104 min,"Action, Adventure, Sci-Fi",6.7,58,484844
Pirates of the Caribbean: On Stranger Tides,33.0,54.0,2011,137 min,"Action, Adventure, Fantasy",6.6,45,483802
The Great Gatsby,48.0,67.0,2013,143 min,"Drama, Romance",7.2,55,482975
Harry Potter and the Deathly Hallows: Part 1,77.0,85.0,2010,146 min,"Adventure, Family, Fantasy",7.7,65,482965
Harry Potter en de halfbloed prins,84.0,78.0,2009,153 min,"Action, Adventure, Family",7.6,78,478658
De Hobbit: De Slag van Vijf Legers,59.0,74.0,2014,144 min,"Adventure, Fantasy",7.4,59,477644
Ex Machina,,,2014,108 min,"Drama, Sci-Fi, Thriller",7.7,78,477436
"Crazy, Stupid, Love.",79.0,78.0,2011,118 min,"Comedy, Drama, Romance",7.4,68,475875
(500) Days of Summer,85.0,84.0,2009,95 min,"Comedy, Drama, Romance",7.7,76,474574
Zodiac,89.0,77.0,2007,157 min,"Crime, Drama, Mystery",7.7,78,471341
Nightcrawler,95.0,85.0,2014,117 min,"Crime, Drama, Thriller",7.9,76,471190
Casino,80.0,93.0,1995,178 min,"Crime, Drama",8.2,73,470063
X-Men Origins: Wolverine,37.0,58.0,2009,107 min,"Action, Sci-Fi",6.6,40,469669
Knives Out,97.0,92.0,2019,130 min,"Comedy, Crime, Drama",7.9,82,469140
Pacific Rim,72.0,77.0,2013,131 min,"Action, Adventure, Sci-Fi",6.9,65,467565
Blade Runner 2049,88.0,81.0,2017,164 min,"Action, Drama, Mystery",8.0,81,467467
Children of Men,92.0,85.0,2006,109 min,"Adventure, Drama, Sci-Fi",7.9,84,467156
Hot Fuzz,91.0,89.0,2007,121 min,"Action, Comedy, Mystery",7.8,81,465831
The Hangover Part II,33.0,52.0,2011,102 min,Comedy,6.5,44,465675
The Perks of Being a Wallflower,85.0,89.0,2012,103 min,"Drama, Romance",8.0,67,465318
Star Trek: Into Darkness,84.0,89.0,2013,132 min,"Action, Adventure, Sci-Fi",7.7,72,464422
It,86.0,84.0,2017,135 min,Horror,7.3,69,463009
Mission: Impossible - Ghost Protocol,93.0,76.0,2011,132 min,"Action, Adventure, Thriller",7.4,73,459113
Bohemian Rhapsody,61.0,85.0,2018,134 min,"Biography, Drama, Music",8.0,49,457183
Captain Marvel,79.0,45.0,2019,123 min,"Action, Adventure, Sci-Fi",6.9,64,453758
The Butterfly Effect,33.0,81.0,2004,113 min,"Drama, Sci-Fi, Thriller",7.6,30,453360
Mr. & Mrs. Smith,60.0,58.0,2005,120 min,"Action, Comedy, Crime",6.5,55,452520
The Pursuit of Happyness,67.0,87.0,2006,117 min,"Biography, Drama",8.0,64,452319
American Hustle,92.0,74.0,2013,138 min,"Crime, Drama",7.2,90,451234
The Matrix Revolutions,35.0,60.0,2003,129 min,"Action, Sci-Fi",6.8,47,450569
Lucy,67.0,47.0,2014,89 min,"Action, Sci-Fi, Thriller",6.4,61,449636
Edward Scissorhands,90.0,91.0,1990,105 min,"Drama, Fantasy, Romance",7.9,74,449608
Hancock,41.0,59.0,2008,92 min,"Action, Drama, Fantasy",6.4,49,446505
Dallas Buyers Club,93.0,91.0,2013,117 min,"Biography, Drama",8.0,80,445187
The Conjuring,86.0,83.0,2013,112 min,"Horror, Mystery, Thriller",7.5,68,445036
Ice Age,77.0,82.0,2002,81 min,"Animation, Adventure, Comedy",7.5,60,444559
Baby Driver,92.0,86.0,2017,113 min,"Action, Crime, Drama",7.6,86,444266
American Sniper,72.0,84.0,2014,133 min,"Action, Biography, Drama",7.3,72,442286
Little Miss Sunshine,91.0,91.0,2006,101 min,"Comedy, Drama",7.8,80,442047
Hacksaw Ridge,84.0,91.0,2016,139 min,"Biography, Drama, History",8.1,71,441035
1917,89.0,88.0,2019,119 min,"Drama, Thriller, War",8.3,78,440115
"Three Billboards Outside Ebbing, Missouri",90.0,87.0,2017,115 min,"Comedy, Crime, Drama",8.1,88,438974
Love Actually,64.0,72.0,2003,135 min,"Comedy, Drama, Romance",7.6,55,438752
Warrior,83.0,92.0,2011,140 min,"Action, Drama, Sport",8.2,71,438409
Zootropolis,98.0,92.0,2016,108 min,"Animation, Adventure, Comedy",8.0,78,437592
The Incredible Hulk,67.0,70.0,2008,112 min,"Action, Adventure, Sci-Fi",6.7,61,437167
The Bourne Supremacy,82.0,90.0,2004,108 min,"Action, Mystery, Thriller",7.7,73,436644
The Fifth Element,71.0,86.0,1997,126 min,"Action, Adventure, Sci-Fi",7.7,52,436329
Rush,89.0,88.0,2013,123 min,"Action, Biography, Drama",8.1,74,435498
Rush,89.0,88.0,1991,120 min,"Action, Crime, Drama",6.8,66,7997
Rush,71.0,72.0,2013,123 min,"Action, Biography, Drama",8.1,74,435498
Rush,71.0,72.0,1991,120 min,"Action, Crime, Drama",6.8,66,7997
The Wolverine,71.0,69.0,2013,126 min,"Action, Sci-Fi",6.7,61,431932
Charlie and the Chocolate Factory,83.0,51.0,2005,115 min,"Adventure, Comedy, Family",6.6,72,431619
The Help,76.0,89.0,2011,146 min,Drama,8.0,62,431228
Split,77.0,79.0,2016,117 min,"Horror, Thriller",7.3,62,430374
Fury,76.0,84.0,2014,134 min,"Action, Drama, War",7.6,64,430243
Twilight,49.0,73.0,2008,122 min,"Drama, Fantasy, Romance",5.2,56,429145
Divergent,41.0,69.0,2014,139 min,"Action, Adventure, Mystery",6.6,48,427893
Indiana Jones and the Kingdom of the Crystal Skull,78.0,53.0,2008,122 min,"Action, Adventure",6.1,65,427183
The Girl with the Dragon Tattoo,87.0,86.0,2011,158 min,"Crime, Drama, Mystery",7.8,71,426235
Spotlight,97.0,93.0,2015,129 min,"Biography, Crime, Drama",8.1,93,424155
Captain Phillips,93.0,89.0,2013,134 min,"Adventure, Biography, Crime",7.8,82,423846
The Hurt Locker,97.0,84.0,2008,131 min,"Drama, Thriller, War",7.5,95,423713
Horrible Bosses,69.0,70.0,2011,98 min,"Comedy, Crime",6.9,57,423157
Sherlock Holmes: A Game of Shadows,59.0,77.0,2011,129 min,"Action, Adventure, Mystery",7.5,48,422499
Kung Fu Panda,87.0,83.0,2008,92 min,"Animation, Action, Adventure",7.5,74,422388
Shrek 2,89.0,69.0,2004,93 min,"Animation, Adventure, Comedy",7.2,75,422014
Mystic River,88.0,89.0,2003,138 min,"Crime, Drama, Mystery",7.9,84,421582
Crash,74.0,88.0,2004,112 min,"Crime, Drama, Thriller",7.7,66,420881
Crash,74.0,88.0,1996,100 min,Drama,6.4,50,52626
Crash,63.0,61.0,2004,112 min,"Crime, Drama, Thriller",7.7,66,420881
Crash,63.0,61.0,1996,100 min,Drama,6.4,50,52626
The Maze Runner,,,2014,113 min,"Action, Mystery, Sci-Fi",6.8,57,420849
Elysium,65.0,58.0,2013,109 min,"Action, Drama, Sci-Fi",6.6,61,420688
The Amazing Spider-Man 2,51.0,64.0,2014,142 min,"Action, Adventure, Fantasy",6.6,53,419168
Belle en het Beest,,,1991,84 min,"Animation, Family, Fantasy",8.0,95,418815
Lost in Translation,95.0,85.0,2003,102 min,"Comedy, Drama",7.7,89,418072
War of the Worlds,75.0,42.0,2005,116 min,"Adventure, Sci-Fi, Thriller",6.5,73,417738
The Day After Tomorrow,45.0,50.0,2004,124 min,"Action, Adventure, Sci-Fi",6.4,47,417388
Big Fish,75.0,89.0,2003,125 min,"Adventure, Drama, Fantasy",8.0,58,417021
The Hunger Games: Mockingjay - Part 1,68.0,71.0,2014,123 min,"Action, Adventure, Sci-Fi",6.6,64,416334
